sample,configuration,F_kch_peak_N,F_chv1_peak_N,a_peak_m_s2,j_peak_m_s3,P_peak_W,P_mean_W,u1_peak_m
70,rigid,44850.53439839541,0.0,2.2923585069223122,21.36283473540709,92300.00000000001,77529.40276046949,0.0
70,compliant,41470.44914846846,11389.621223995857,2.378441930407405,31.572877942250557,92300.00000000001,78704.41021990683,0.05168816629911381
71,rigid,43845.18745694219,0.0,2.294062747706789,20.922328016907613,92300.00000000001,77397.0010775759,0.0
71,compliant,41440.35357042555,11923.651007734194,2.389798481704986,30.590323538433466,92300.00000000001,78365.11639788792,0.06238987147595865
72,rigid,46077.25881758364,0.0,2.3234281794918274,21.64023623751146,92300.00000000001,77624.33856413512,0.0
72,compliant,41529.89835742864,11480.508988844711,2.3388217291283695,32.147289056851946,92300.00000000001,78447.75367686948,0.05933939444084273
73,rigid,46995.80493489762,0.0,2.32586531680397,21.98054638263133,92300.00000000001,77754.9125070356,0.0
73,compliant,41709.03144142387,10795.097020393132,2.338378601542331,32.91188323097694,92300.00000000001,79162.60227301938,0.05820971444782738
74,rigid,47011.31188592066,0.0,2.3254773967343,21.98927133902859,92300.00000000001,77758.24569152055,0.0
74,compliant,41693.372652363105,10987.351680986494,2.318704726542876,32.91869258188069,92300.00000000001,78984.92485756053,0.05804842571307941
75,rigid,47044.549339167956,0.0,2.3243419043764675,22.00989724430869,92300.00000000001,77766.19961342453,0.0
75,compliant,41559.270465406415,10991.464857234494,2.3169896437379407,32.96997921383999,92300.00000000001,78984.98529901935,0.05428141067759667
76,rigid,46903.25546666358,0.0,2.3280071491446392,21.929145162819054,92300.00000000001,77735.52421253484,0.0
76,compliant,41792.0404752433,10951.380533252552,2.3363299776700046,32.803603448888424,92300.00000000001,79065.41605413602,0.060089626257092105
77,rigid,46399.95249994312,0.0,2.3283049604629014,21.736158225685585,92300.00000000001,77659.38894874732,0.0
77,compliant,41761.65070783551,11098.768234899484,2.355116997288235,32.37728278156962,92300.00000000001,78989.23591043147,0.054277235813941685
78,rigid,43968.52660030136,0.0,2.3375249330969154,20.643771617803395,92300.00000000001,77326.3888113907,0.0
78,compliant,41049.055120241566,11740.446759328861,2.407127695013969,30.002688504169555,92300.00000000001,78716.82573532675,0.06272374569962166
79,rigid,46694.10750194812,0.0,2.329913186911142,21.838853193443214,92300.00000000001,77699.28681336022,0.0
79,compliant,41651.36216414956,11149.346205961847,2.3292563054283733,32.60718168491141,92300.00000000001,78810.60349179115,0.05752913832453887
80,rigid,43849.502728472005,0.0,2.29508631856487,20.91633442172929,92300.00000000001,77395.4295312994,0.0
80,compliant,41276.016137220315,11744.255938519273,2.4013520546894824,30.56208612114716,92300.00000000001,78589.94030289548,0.05208212804866817
81,rigid,43886.05145903831,0.0,2.307058987345613,20.83916916077922,92300.00000000001,77375.88770301914,0.0
