sample,configuration,F_kch_peak_N,F_chv1_peak_N,a_peak_m_s2,j_peak_m_s3,P_peak_W,P_mean_W,u1_peak_m
81,compliant,41364.64472926345,11941.424563315708,2.395704521378491,30.408446225164454,92300.00000000001,78421.94560653636,0.05818022777605474
82,rigid,43932.970938873215,0.0,2.3232937074492384,20.737319155845086,92300.00000000001,77349.68250754433,0.0
82,compliant,41358.594671252125,12067.69259860171,2.3950992381127207,30.182733091154432,92300.00000000001,78334.01596787298,0.06605338233959394
83,rigid,46306.12846415266,0.0,2.3271217911678264,21.706910213844083,92300.00000000001,77648.49435120726,0.0
83,compliant,41754.26614521962,11144.835747836947,2.356600961744732,32.30439900106654,92300.00000000001,78971.60481220431,0.054847756812531234
84,rigid,46264.04373080904,0.0,2.32656800400315,21.693892930720153,92300.00000000001,77643.69201510207,0.0
84,compliant,41714.094757422616,11068.800952023554,2.3617414503881378,32.30366246241047,92300.00000000001,78974.11085950184,0.05630759657860307
85,rigid,43770.690234687354,0.0,2.2719617958792355,21.05689657460107,92300.00000000001,77434.11761132607,0.0
85,compliant,41516.17392039328,11732.233294474576,2.39346713997503,30.872393396836827,92300.00000000001,78610.59271940988,0.05787261555475196
86,rigid,46561.83992605244,0.0,2.329694454462242,21.789909030020283,92300.00000000001,77680.01247077374,0.0
86,compliant,41679.02059891938,10925.733805452857,2.357077446967935,32.50546536456045,92300.00000000001,79107.33857419153,0.053589513078204545
87,rigid,44946.55640077249,0.0,2.295191761175488,21.3822539547364,92300.00000000001,77535.68865001609,0.0
87,compliant,41662.66415640607,11238.533565747979,2.3894851385170455,31.61073240832249,92300.00000000001,78969.70362138432,0.057442151277446535
88,rigid,44540.78722094788,0.0,2.282987218150481,21.300830697348886,92300.00000000001,77509.67719744591,0.0
88,compliant,41525.104192266175,11575.746373469567,2.37075712756274,31.408735941326768,92300.00000000001,78364.6677130841,0.05524827937253665
89,rigid,43834.074672341456,0.0,2.290415447657608,20.94522067538867,92300.00000000001,77403.06115754417,0.0
89,compliant,41343.20589638003,11839.777759479672,2.394881710507889,30.62160971825807,92300.00000000001,78441.84728395705,0.056077728611304466
90,rigid,44916.0063900052,0.0,2.2943177050338477,21.37583508060007,92300.00000000001,77533.62639634228,0.0
90,compliant,41531.36108464952,11353.838966050878,2.375934333611326,31.61077118119846,92300.00000000001,78614.42298191102,0.05740459569486925
91,rigid,43805.552870658066,0.0,2.2818868001698434,20.997791749000584,92300.00000000001,77417.28172110923,0.0
91,compliant,41515.09931937923,11859.692912720664,2.387271224354606,30.765556663630917,92300.00000000001,78414.6537446915,0.0643263082956776
92,rigid,46120.074280381246,0.0,2.324243363260109,21.651896452941003,92300.00000000001,77628.50824942214,0.0
92,compliant,41600.311634490135,11472.241529190647,2.339166180509949,32.174018220086,92300.00000000001,78531.9801970521,0.06013574239327973
93,rigid,43903.97935448162,0.0,2.313182685723234,20.80107908328071,92300.00000000001,77365.97566182245,0.0
93,compliant,41178.971536614976,11846.561948406088,2.3992126355532832,30.311603970967298,92300.00000000001,78193.19169228018,0.05765015486826765
94,rigid,45622.80160791034,0.0,2.313522057852083,21.52686805628838,92300.00000000001,77584.35279138832,0.0
94,compliant,41556.999769969196,11479.489565636923,2.357244623407439,31.89090379488391,92300.00000000001,78626.74167543036,0.0546592548548723
95,rigid,47043.07130412554,0.0,2.324429546384465,22.008734092060138,92300.00000000001,77765.74859214257,0.0
95,compliant,41710.69279522697,11046.800707484754,2.3113232904689767,32.956793685927295,92300.00000000001,78931.57597371511,0.056279938008014715
96,rigid,43741.29045479685,0.0,2.2635826464600655,21.106058637363674,92300.00000000001,77448.72347847882,0.0
96,compliant,41515.002478589755,11771.340820586865,2.38298395742288,30.992750483232612,92300.00000000001,78447.05791278614,0.06169642638424238
97,rigid,46246.64264119543,0.0,2.326287900836462,21.688843634095008,92300.00000000001,77641.83660165207,0.0
97,compliant,41770.33460120686,11112.755738855636,2.3617495628373035,32.27961213690091,92300.00000000001,78994.11712413805,0.05463240140612887
98,rigid,44910.1670130102,0.0,2.294151062178969,21.37461308741348,92300.00000000001,77533.23162426085,0.0
98,compliant,41489.040392566516,11430.59564256956,2.373801395625435,31.59806460973607,92300.00000000001,78590.08299774776,0.056432361328175445
99,rigid,46780.542007984994,0.0,2.329537869512251,21.87345820362475,92300.00000000001,77713.21777676999,0.0
99,compliant,41689.68345515602,11178.121929946368,2.3239034174266635,32.651053673962025,92300.00000000001,78867.99541991652,0.05603362743820251
100,rigid,46638.963296947964,0.0,2.329943648655103,21.817823518566,92300.00000000001,77690.93113938611,0.0
100,compliant,41766.35500015452,11208.113777485298,2.3333204445615934,32.54678320907459,92300.00000000001,78827.0986633504,0.059246872630837555
101,rigid,44099.2535789739,0.0,2.268976850865613,21.215166895619376,92300.00000000001,77483.21591378776,0.0
