P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s,run_id,configuration,scenario,scale,wall_time_s,braking_time_s,braking_distance_m,mean_decel_m_s2
92300.00000000001,84728.68333070748,2239221.398388005,35499.75823997926,9825.896845717172,4403.350495901613,0.0,0.0,0.5910237309079358,0.5834754698243657,6.643966184024233,0.5933317666625185,0.0,0.0,0.0,0.0,26.428138740785357,206.23111471282755,0.0010000000000044281,7.8034671585102595,0.0,12,rigid,braking,full_scale,,26.428138740785357,206.23111471282755,-0.581892607835921
92300.00000000001,84753.17132450845,2228711.531911943,35499.87870212802,9858.707842829983,4403.317737460654,2304.935027190568,416.93188639442025,0.6465165732904552,0.5862408062646941,8.165760681102963,0.6812058280690997,0.011524675028295342,0.002779545901767911,0.03839357265763153,0.013320854923175973,26.296497193933988,204.43997411160126,0.0009999999999853973,7.774418421495544,26.296497193933988,12,compliant,braking,full_scale,,26.296497193933988,204.43997411160126,-0.5848055901782967
92300.00000000001,74049.6910482716,300480.70642089867,35499.98361706523,19538.817701789263,44859.60072361631,0.0,0.0,2.29272899400587,1.0877605238594161,21.37015480902869,6.2887089998474535,0.0,0.0,0.0,0.0,4.057825254463532,9.139139240515668,4.0,2.252225937693216,0.0,13,rigid,start_off,full_scale,0.13527178764343262,,,
92300.00000000001,75245.74403326683,309287.4535848882,35499.946394616294,19509.513773079267,41619.36525163851,11478.445886971866,5695.532479635795,2.375029218566283,1.0814400761854157,31.581620168396398,7.462397643558413,0.05739155024084077,0.037970093734434426,0.15010048139607812,0.12933644262580768,4.110364746319066,9.452334658426524,3.9999999999999996,2.299634044196718,4.110364746319066,13,compliant,start_off,full_scale,0.5285277366638184,,,
92300.00000000001,85554.53731365349,2236711.8605227824,35499.8934087768,10214.119589510836,5103.132646610226,0.0,0.0,0.577817293348744,0.5606779809899348,6.422499683487363,0.5971251931783728,0.0,0.0,0.0,0.0,26.14369653268909,193.8371816455874,0.0010000000000199897,7.414298874930725,0.0,13,rigid,braking,full_scale,,26.14369653268909,193.8371816455874,-0.559143593118387
92300.00000000001,85561.72410275564,2221055.6992978407,35499.98459197169,10260.223625226605,5103.132699322772,3632.851290154411,1816.6872022808986,0.6977276761390385,0.5644737472797988,8.840976307946342,0.748952402219824,0.018164256132386307,0.012111248014852456,0.04318104803729927,0.03800288274143438,25.958519683760187,191.48551101429985,0.0009999999999999224,7.376595877608088,25.958519683760187,13,compliant,braking,full_scale,,25.958519683760187,191.48551101429985,-0.5631322769567519
92300.00000000001,77529.93421294705,388732.2539761966,35499.97358062041,18038.762123835706,44860.00418731536,0.0,0.0,2.2927284318121792,1.0048960404684093,21.369030554424313,5.657038126731197,0.0,0.0,0.0,0.0,5.013963418419625,13.208739030744399,4.5,2.6343907986765496,0.0,14,rigid,start_off,full_scale,0.14477777481079102,,,
92300.00000000001,78664.84796449162,404421.14974230935,35499.99185214582,17938.06328057768,41619.32662820126,11478.445600477948,5695.534806594728,2.375013818968,0.9911126286554072,31.574208553382334,6.671595052507156,0.057391481177536674,0.03797009944780614,0.15009925530732637,0.12933510816346422,5.141065675546214,13.83977838278734,4.5,2.6920057664889976,5.141065675546214,14,compliant,start_off,full_scale,0.5601701736450195,,,
92300.00000000001,85554.53731365349,2236711.8605227824,35499.8934087768,10214.119589510836,5103.132646610226,0.0,0.0,0.577817293348744,0.5606779809899348,6.422499683487363,0.5971251931783728,0.0,0.0,0.0,0.0,26.14369653268909,193.8371816455874,0.0010000000000199897,7.414298874930725,0.0,14,rigid,braking,full_scale,,26.14369653268909,193.8371816455874,-0.559143593118387
92300.00000000001,85561.72410275564,2221055.6992978407,35499.98459197169,10260.223625226605,5103.132699322772,3632.851290154411,1816.6872022808986,0.6977276761390385,0.5644737472797988,8.840976307946342,0.748952402219824,0.018164256132386307,0.012111248014852456,0.04318104803729927,0.03800288274143438,25.958519683760187,191.48551101429985,0.0009999999999999224,7.376595877608088,25.958519683760187,14,compliant,braking,full_scale,,25.958519683760187,191.48551101429985,-0.5631322769567519
92300.00000000001,80202.2303429332,490958.4245006497,35499.98534358968,16664.558365916753,44859.6179395071,0.0,0.0,2.2926724507338463,0.9295342488099314,21.365294160773658,5.119081920208227,0.0,0.0,0.0,0.0,6.121505878345054,18.476218639446987,5.0,3.0182473216655517,0.0,15,rigid,start_off,full_scale,0.15284252166748047,,,
