P_peak_W,P_mean_W,E_engine_J,M_peak_Nm,M_mean_Nm,F_kch_peak_N,F_chv1_peak_N,F_v1v2_peak_N,a_peak_m_s2,a_rms_m_s2,j_peak_m_s3,j_rms_m_s3,u1_peak_m,u2_peak_m,du1_peak_m_s,du2_peak_m_s,t_manoeuvre_s,distance_m,v_end_m_s,v_mean_m_s,settling_time_s,run_id,configuration,scenario,scale,wall_time_s
92300.00000000001,79916.47274770669,362324.6416685679,35499.85637782877,16838.532750623785,35908.36570943783,450.7456327898559,154.77202003901337,2.9439311711871596,1.231541890026345,29.854653745704297,6.559061089667746,0.0022537364279016344,0.0010318144581026628,0.04704357465576857,0.022100679115949512,4.5337917104076055,13.514484863535158,5.0,2.9808349811282335,4.5337917104076055,21,compliant,start_off,rig_scale,0.7044968605041504
92300.00000000001,73928.8355927603,226246.60551903903,35499.999922217,19650.238238396592,36104.94190993805,0.0,0.0,2.9598605805216494,1.4233961793426733,29.655478350466865,8.148108967203505,0.0,0.0,0.0,0.0,3.0603296224672976,6.843005561374044,4.0,2.236035474613095,0.0,22,rigid,start_off,rig_scale,0.10983109474182129
92300.00000000001,73935.11565572127,226290.11605792973,35499.90855486435,19650.330785861534,36023.148438124736,677.6275813185248,338.22590627671013,2.9465847771244853,1.420689147178512,29.866190122636112,7.812509632590245,0.0033881540177009535,0.00225483878433125,0.068677980279287,0.048671775790801626,3.060658173737757,6.844348611908872,4.0,2.236234254749989,3.060658173737757,22,compliant,start_off,rig_scale,0.660790205001831
92300.00000000001,77311.71344479607,290000.202304421,35499.954968950595,18181.450608169736,36104.7105581936,0.0,0.0,2.959822865683009,1.322723411364206,29.653568731241933,7.359675718446819,0.0,0.0,0.0,0.0,3.751051288127171,9.78265275625997,4.5,2.607976285697977,0.0,23,rigid,start_off,rig_scale,0.11693954467773438
92300.00000000001,77316.93840092987,290052.88857927255,35499.93143190585,18181.48544078628,36023.04353105398,677.597439809355,338.20303516844075,2.946558914145726,1.3203331656375108,29.862890770235026,7.056542285649694,0.0033880154144585455,0.002254670140804176,0.06867460747050315,0.04867413798830351,3.7514792305302165,9.784412995810799,4.5,2.608147998210152,3.7514792305302165,23,compliant,start_off,rig_scale,0.6839799880981445
92300.00000000001,79914.35420125021,362753.08214228257,35499.98789974938,16838.046243101333,36104.85218089525,0.0,0.0,2.9598124027692165,1.2311498976399526,29.64795889030404,6.689724760758051,0.0,0.0,0.0,0.0,4.53927314770952,13.530902922571377,5.0,2.980852340515972,0.0,24,rigid,start_off,rig_scale,0.12347006797790527
92300.00000000001,79918.7128599203,362815.51444828603,35499.94259292078,16838.05516769624,36022.92787609783,677.5915602119491,338.1871992383992,2.9465184578264143,1.2290187511206754,29.861387920811694,6.414180504640526,0.0033879952294087502,0.0022545746284454347,0.06867480634716772,0.04866654314750557,4.539806779473799,13.533160057732204,5.000000000000001,2.9809991436186,4.539806779473799,24,compliant,start_off,rig_scale,0.703406572341919
92300.00000000001,73929.17721399426,226523.23059874243,35499.99987087882,19649.859397196007,36152.45833312873,0.0,0.0,2.956817297230941,1.4216970641176687,29.608672050500218,8.133828052695579,0.0,0.0,0.0,0.0,3.0640572387685547,6.851496223252014,4.0,2.2360862505237615,0.0,25,rigid,start_off,rig_scale,0.10920476913452148
92300.00000000001,73937.4978814949,226592.81027704556,35499.958934336944,19648.798444329273,34979.31481479909,1130.1301630169962,670.34028638397,2.795169299937129,1.4161074518093422,29.873287144792016,7.464990208802073,0.005650612390938046,0.004468906529085151,0.09822877032499419,0.0863899015995649,3.064653481244694,6.854202702479455,4.0,2.236534336660835,3.064653481244694,25,compliant,start_off,rig_scale,0.7032065391540527
92300.00000000001,77312.51526496929,290366.5800341603,35499.95911085179,18180.91762380168,36152.659999971984,0.0,0.0,2.9568188537689366,1.3211126867295033,29.60684024477621,7.346646567298325,0.0,0.0,0.0,0.0,3.7557513041582147,9.795277624796414,4.5,2.608074092546128,0.0,26,rigid,start_off,rig_scale,0.11636066436767578
